"""Lat"",""Lon"",""UV_Index"""
-37.73,145.1,4.44571205221615
-34.95,138.52,5.31783870036321
-23.8,133.89,7.89356952875649
-27.45,153.03,5.40875974573026
-35.31,149.2,4.73121463266545
-12.43,130.89,8.6051126540162
-28,153.37,5.88267305253831
-42.99,147.29,3.71380861040068
-32.9,151.72,5.11879514883547
-31.93,115.98,1.58164482136317
-34.04,151.1,4.83939806297608
-19.33,146.76,7.5496434226553
